Rank,Club,Country,Level,Elo,From,To
None,Grenoble,FRA,1,1504.62463379,1960-07-01,1960-08-20
None,Grenoble,FRA,1,1500.46228027,1960-08-21,1960-08-24
None,Grenoble,FRA,1,1493.04614258,1960-08-25,1960-09-03
None,Grenoble,FRA,1,1490.61572266,1960-09-04,1960-09-07
None,Grenoble,FRA,1,1490.66442871,1960-09-08,1960-09-10
None,Grenoble,FRA,1,1494.13049316,1960-09-11,1960-09-14
None,Grenoble,FRA,1,1500.95812988,1960-09-15,1960-09-17
None,Grenoble,FRA,1,1505.71972656,1960-09-18,1960-09-24
None,Grenoble,FRA,1,1501.78283691,1960-09-25,1960-10-02
None,Grenoble,FRA,1,1510.73913574,1960-10-03,1960-10-05
None,Grenoble,FRA,1,1510.82006836,1960-10-06,1960-10-09
None,Grenoble,FRA,1,1506.15112305,1960-10-10,1960-10-15
None,Grenoble,FRA,1,1522.83837891,1960-10-16,1960-10-23
None,Grenoble,FRA,1,1528.32873535,1960-10-24,1960-10-30
None,Grenoble,FRA,1,1530.13342285,1960-10-31,1960-11-01
None,Grenoble,FRA,1,1522.64794922,1960-11-02,1960-11-06
None,Grenoble,FRA,1,1526.5871582,1960-11-07,1960-11-11
None,Grenoble,FRA,1,1538.61987305,1960-11-12,1960-11-13
None,Grenoble,FRA,1,1538.92089844,1960-11-14,1960-11-16
None,Grenoble,FRA,1,1535.26501465,1960-11-17,1960-11-19
None,Grenoble,FRA,1,1541.73144531,1960-11-20,1960-11-27
None,Grenoble,FRA,1,1535.99438477,1960-11-28,1960-11-30
None,Grenoble,FRA,1,1529.69995117,1960-12-01,1960-12-04
None,Grenoble,FRA,1,1527.13525391,1960-12-05,1960-12-18
None,Grenoble,FRA,1,1524.921875,1960-12-19,1960-12-24
None,Grenoble,FRA,1,1523.49182129,1960-12-25,1961-01-01
None,Grenoble,FRA,1,1516.8717041,1961-01-02,1961-01-08
None,Grenoble,FRA,1,1514.95898438,1961-01-09,1961-01-22
None,Grenoble,FRA,1,1513.55383301,1961-01-23,1961-01-29
None,Grenoble,FRA,1,1518.50512695,1961-01-30,1961-02-05
None,Grenoble,FRA,1,1525.32592773,1961-02-06,1961-02-19
None,Grenoble,FRA,1,1524.09204102,1961-02-20,1961-02-26
None,Grenoble,FRA,1,1530.21899414,1961-02-27,1961-03-11
None,Grenoble,FRA,1,1522.12915039,1961-03-12,1961-03-19
None,Grenoble,FRA,1,1522.57214355,1961-03-20,1961-04-08
None,Grenoble,FRA,1,1517.77539062,1961-04-09,1961-04-22
None,Grenoble,FRA,1,1515.52746582,1961-04-23,1961-04-29
None,Grenoble,FRA,1,1510.83911133,1961-04-30,1961-05-10
None,Grenoble,FRA,1,1507.32910156,1961-05-11,1961-05-13
None,Grenoble,FRA,1,1506.00244141,1961-05-14,1961-05-18
None,Grenoble,FRA,1,1516.03515625,1961-05-19,1961-05-27
None,Grenoble,FRA,1,1511.57861328,1961-05-28,1961-06-03
None,Grenoble,FRA,1,1523.57861328,1961-06-04,1961-07-02
None,Grenoble,FRA,1,1472.45727539,1962-07-01,1962-08-18
None,Grenoble,FRA,1,1469.23522949,1962-08-19,1962-08-25
None,Grenoble,FRA,1,1469.31311035,1962-08-26,1962-09-01
None,Grenoble,FRA,1,1464.79223633,1962-09-02,1962-09-05
None,Grenoble,FRA,1,1462.61181641,1962-09-06,1962-09-08
None,Grenoble,FRA,1,1461.63659668,1962-09-09,1962-09-15
None,Grenoble,FRA,1,1458.60510254,1962-09-16,1962-09-19
None,Grenoble,FRA,1,1440.91259766,1962-09-20,1962-09-20
None,Grenoble,FRA,1,1432.31945801,1962-09-21,1962-09-22
None,Grenoble,FRA,1,1425.77514648,1962-09-23,1962-09-23
None,Grenoble,FRA,1,1440.08117676,1962-09-24,1962-10-06
None,Grenoble,FRA,1,1431.62390137,1962-10-07,1962-10-10
None,Grenoble,FRA,1,1431.88183594,1962-10-11,1962-10-13
None,Grenoble,FRA,1,1428.29174805,1962-10-14,1962-10-18
None,Grenoble,FRA,1,1425.78063965,1962-10-19,1962-10-21
None,Grenoble,FRA,1,1419.14538574,1962-10-22,1962-10-28
None,Grenoble,FRA,1,1430.3092041,1962-10-29,1962-10-31
None,Grenoble,FRA,1,1431.84863281,1962-11-01,1962-11-04
None,Grenoble,FRA,1,1428.6973877,1962-11-05,1962-11-14
None,Grenoble,FRA,1,1442.5645752,1962-11-15,1962-11-18
None,Grenoble,FRA,1,1444.43029785,1962-11-19,1962-11-21
None,Grenoble,FRA,1,1450.67907715,1962-11-22,1962-11-25
None,Grenoble,FRA,1,1450.67480469,1962-11-26,1962-12-02
None,Grenoble,FRA,1,1447.78918457,1962-12-03,1962-12-09
None,Grenoble,FRA,1,1456.78845215,1962-12-10,1962-12-16
None,Grenoble,FRA,1,1453.63427734,1962-12-17,1962-12-23
None,Grenoble,FRA,1,1456.40759277,1962-12-24,1962-12-30
None,Grenoble,FRA,1,1450.86706543,1962-12-31,1963-01-05
None,Grenoble,FRA,1,1462.6763916,1963-01-06,1963-01-13
None,Grenoble,FRA,1,1467.72729492,1963-01-14,1963-01-27
None,Grenoble,FRA,1,1465.15600586,1963-01-28,1963-02-03
None,Grenoble,FRA,1,1453.34960938,1963-02-04,1963-02-06
None,Grenoble,FRA,1,1438.58679199,1963-02-07,1963-02-10
None,Grenoble,FRA,1,1458.15734863,1963-02-11,1963-03-03
None,Grenoble,FRA,1,1463.80322266,1963-03-04,1963-03-13
None,Grenoble,FRA,1,1459.95129395,1963-03-14,1963-03-17
None,Grenoble,FRA,1,1454.29589844,1963-03-18,1963-03-23
None,Grenoble,FRA,1,1468.1348877,1963-03-24,1963-04-03
None,Grenoble,FRA,1,1474.82946777,1963-04-04,1963-04-06
None,Grenoble,FRA,1,1472.56359863,1963-04-07,1963-04-12
None,Grenoble,FRA,1,1467.12207031,1963-04-13,1963-04-30
None,Grenoble,FRA,1,1468.7878418,1963-05-01,1963-05-04
None,Grenoble,FRA,1,1476.83422852,1963-05-05,1963-05-18
None,Grenoble,FRA,1,1474.30297852,1963-05-19,1963-05-25
None,Grenoble,FRA,1,1480.82678223,1963-05-26,1963-07-03
None,Grenoble,FRA,2,1409.25402832,2001-07-01,2001-07-28
None,Grenoble,FRA,2,1416.3338623,2001-07-29,2001-08-04
None,Grenoble,FRA,2,1414.97363281,2001-08-05,2001-08-08
None,Grenoble,FRA,2,1421.49047852,2001-08-09,2001-08-11
None,Grenoble,FRA,2,1411.36230469,2001-08-12,2001-08-17
None,Grenoble,FRA,2,1421.35192871,2001-08-18,2001-08-22
None,Grenoble,FRA,2,1419.32775879,2001-08-23,2001-08-25
None,Grenoble,FRA,2,1413.20617676,2001-08-26,2001-08-29
None,Grenoble,FRA,2,1420.53649902,2001-08-30,2001-09-08
None,Grenoble,FRA,2,1426.05236816,2001-09-09,2001-09-11
None,Grenoble,FRA,2,1431.56347656,2001-09-12,2001-09-15
None,Grenoble,FRA,2,1423.91967773,2001-09-16,2001-09-18
None,Grenoble,FRA,2,1416.08813477,2001-09-19,2001-09-19
None,Grenoble,FRA,2,1423.38989258,2001-09-20,2001-09-20
None,Grenoble,FRA,2,1408.81018066,2001-09-21,2001-09-22
None,Grenoble,FRA,2,1419.38220215,2001-09-23,2001-09-25
None,Grenoble,FRA,2,1428.75439453,2001-09-26,2001-09-26
None,Grenoble,FRA,2,1424.21398926,2001-09-27,2001-09-27
