Rank,Club,Country,Level,Elo,From,To
None,Ancona,ITA,2,1430.00891113,1988-07-03,1988-09-07
None,Ancona,ITA,2,1422.41601562,1988-09-08,1988-09-11
None,Ancona,ITA,2,1420.80334473,1988-09-12,1988-09-18
None,Ancona,ITA,2,1424.1953125,1988-09-19,1988-09-25
None,Ancona,ITA,2,1409.13891602,1988-09-26,1988-10-02
None,Ancona,ITA,2,1404.57995605,1988-10-03,1988-10-05
None,Ancona,ITA,2,1408.01049805,1988-10-06,1988-10-06
None,Ancona,ITA,2,1411.93432617,1988-10-07,1988-10-09
None,Ancona,ITA,2,1411.40124512,1988-10-10,1988-10-11
None,Ancona,ITA,2,1425.50854492,1988-10-12,1988-10-16
None,Ancona,ITA,2,1437.70532227,1988-10-17,1988-10-23
None,Ancona,ITA,2,1443.51574707,1988-10-24,1988-10-26
None,Ancona,ITA,2,1448.31542969,1988-10-27,1988-10-30
None,Ancona,ITA,2,1454.87683105,1988-10-31,1988-11-06
None,Ancona,ITA,2,1451.39599609,1988-11-07,1988-11-09
None,Ancona,ITA,2,1459.03186035,1988-11-10,1988-11-10
None,Ancona,ITA,2,1459.61999512,1988-11-11,1988-11-13
None,Ancona,ITA,2,1463.68945312,1988-11-14,1988-11-20
None,Ancona,ITA,2,1459.28222656,1988-11-21,1988-11-23
None,Ancona,ITA,2,1472.97167969,1988-11-24,1988-11-27
None,Ancona,ITA,2,1471.79052734,1988-11-28,1988-12-04
None,Ancona,ITA,2,1473.90930176,1988-12-05,1988-12-07
None,Ancona,ITA,2,1451.40026855,1988-12-08,1988-12-11
None,Ancona,ITA,2,1450.31665039,1988-12-12,1988-12-18
None,Ancona,ITA,2,1452.83312988,1988-12-19,1988-12-31
None,Ancona,ITA,2,1458.05163574,1989-01-01,1989-01-08
None,Ancona,ITA,2,1451.84106445,1989-01-09,1989-01-15
None,Ancona,ITA,2,1460.31396484,1989-01-16,1989-01-22
None,Ancona,ITA,2,1465.50683594,1989-01-23,1989-01-29
None,Ancona,ITA,2,1459.94030762,1989-01-30,1989-02-05
None,Ancona,ITA,2,1455.63647461,1989-02-06,1989-02-12
None,Ancona,ITA,2,1461.45629883,1989-02-13,1989-02-26
None,Ancona,ITA,2,1456.95031738,1989-02-27,1989-03-01
None,Ancona,ITA,2,1462.30895996,1989-03-02,1989-03-05
None,Ancona,ITA,2,1467.62194824,1989-03-06,1989-03-12
None,Ancona,ITA,2,1465.15600586,1989-03-13,1989-03-15
None,Ancona,ITA,2,1468.75109863,1989-03-16,1989-03-19
None,Ancona,ITA,2,1462.54516602,1989-03-20,1989-03-25
None,Ancona,ITA,2,1474.30712891,1989-03-26,1989-04-02
None,Ancona,ITA,2,1477.98376465,1989-04-03,1989-04-05
None,Ancona,ITA,2,1485.72216797,1989-04-06,1989-04-09
None,Ancona,ITA,2,1482.52893066,1989-04-10,1989-04-16
None,Ancona,ITA,2,1481.71154785,1989-04-17,1989-04-19
None,Ancona,ITA,2,1506.07104492,1989-04-20,1989-04-23
None,Ancona,ITA,2,1500.45336914,1989-04-24,1989-05-03
None,Ancona,ITA,2,1499.52624512,1989-05-04,1989-05-07
None,Ancona,ITA,2,1503.4864502,1989-05-08,1989-05-10
None,Ancona,ITA,2,1498.61352539,1989-05-11,1989-05-14
None,Ancona,ITA,2,1489.38562012,1989-05-15,1989-05-17
None,Ancona,ITA,2,1492.80786133,1989-05-18,1989-05-21
None,Ancona,ITA,2,1489.74731445,1989-05-22,1989-05-24
None,Ancona,ITA,2,1497.24389648,1989-05-25,1989-05-28
None,Ancona,ITA,2,1501.07299805,1989-05-29,1989-06-04
None,Ancona,ITA,2,1498.04162598,1989-06-05,1989-06-11
None,Ancona,ITA,2,1493.89929199,1989-06-12,1989-06-18
None,Ancona,ITA,2,1491.6138916,1989-06-19,1989-08-27
