Rank,Club,Country,Level,Elo,From,To
None,Cottbus,GDR,1,1431.87670898,1973-07-01,1973-08-18
None,Cottbus,GDR,1,1429.37719727,1973-08-19,1973-08-22
None,Cottbus,GDR,1,1434.27685547,1973-08-23,1973-08-25
None,Cottbus,GDR,1,1431.12817383,1973-08-26,1973-09-01
None,Cottbus,GDR,1,1435.00427246,1973-09-02,1973-09-08
None,Cottbus,GDR,1,1421.62792969,1973-09-09,1973-09-15
None,Cottbus,GDR,1,1416.30200195,1973-09-16,1973-09-19
None,Cottbus,GDR,1,1435.0579834,1973-09-20,1973-09-20
None,Cottbus,GDR,1,1435.37585449,1973-09-21,1973-10-03
None,Cottbus,GDR,1,1446.05883789,1973-10-04,1973-10-06
None,Cottbus,GDR,1,1441.2298584,1973-10-07,1973-10-13
None,Cottbus,GDR,1,1423.21020508,1973-10-14,1973-10-20
None,Cottbus,GDR,1,1422.21118164,1973-10-21,1973-10-24
None,Cottbus,GDR,1,1416.87817383,1973-10-25,1973-10-27
None,Cottbus,GDR,1,1412.51025391,1973-10-28,1973-11-07
None,Cottbus,GDR,1,1410.7902832,1973-11-08,1973-11-24
None,Cottbus,GDR,1,1409.03735352,1973-11-25,1973-11-28
None,Cottbus,GDR,1,1410.44848633,1973-11-29,1973-12-01
None,Cottbus,GDR,1,1399.9041748,1973-12-02,1973-12-08
None,Cottbus,GDR,1,1412.43676758,1973-12-09,1973-12-12
None,Cottbus,GDR,1,1423.79602051,1973-12-13,1974-01-26
None,Cottbus,GDR,1,1430.81835938,1974-01-27,1974-02-02
None,Cottbus,GDR,1,1427.64562988,1974-02-03,1974-02-09
None,Cottbus,GDR,1,1423.5402832,1974-02-10,1974-02-16
None,Cottbus,GDR,1,1420.02172852,1974-02-17,1974-02-20
None,Cottbus,GDR,1,1416.74597168,1974-02-21,1974-02-23
None,Cottbus,GDR,1,1416.68652344,1974-02-24,1974-03-02
None,Cottbus,GDR,1,1415.21643066,1974-03-03,1974-03-06
None,Cottbus,GDR,1,1417.22058105,1974-03-07,1974-03-09
None,Cottbus,GDR,1,1415.98742676,1974-03-10,1974-03-16
None,Cottbus,GDR,1,1407.13671875,1974-03-17,1974-03-20
None,Cottbus,GDR,1,1411.13464355,1974-03-21,1974-03-23
None,Cottbus,GDR,1,1409.2791748,1974-03-24,1974-03-30
None,Cottbus,GDR,1,1402.02563477,1974-03-31,1974-04-03
None,Cottbus,GDR,1,1398.7253418,1974-04-04,1974-04-06
None,Cottbus,GDR,1,1389.34069824,1974-04-07,1974-04-10
None,Cottbus,GDR,1,1388.23681641,1974-04-11,1974-04-24
None,Cottbus,GDR,1,1388.76672363,1974-04-25,1974-05-08
None,Cottbus,GDR,1,1395.18127441,1974-05-09,1974-07-05
None,Cottbus,GDR,1,1414.27880859,1975-07-02,1975-08-23
None,Cottbus,GDR,1,1412.85668945,1975-08-24,1975-08-27
None,Cottbus,GDR,1,1409.60266113,1975-08-28,1975-08-30
None,Cottbus,GDR,1,1410.1965332,1975-08-31,1975-09-06
None,Cottbus,GDR,1,1405.28930664,1975-09-07,1975-09-13
None,Cottbus,GDR,1,1425.91186523,1975-09-14,1975-09-17
None,Cottbus,GDR,1,1432.67321777,1975-09-18,1975-09-20
None,Cottbus,GDR,1,1436.8034668,1975-09-21,1975-10-01
None,Cottbus,GDR,1,1438.27404785,1975-10-02,1975-10-15
None,Cottbus,GDR,1,1432.28466797,1975-10-16,1975-10-18
None,Cottbus,GDR,1,1421.08081055,1975-10-19,1975-10-22
None,Cottbus,GDR,1,1425.71899414,1975-10-23,1975-11-01
None,Cottbus,GDR,1,1421.59814453,1975-11-02,1975-11-05
None,Cottbus,GDR,1,1421.11120605,1975-11-06,1975-11-08
None,Cottbus,GDR,1,1416.11181641,1975-11-09,1975-11-12
None,Cottbus,GDR,1,1413.57714844,1975-11-13,1975-11-26
None,Cottbus,GDR,1,1420.79833984,1975-11-27,1975-12-10
None,Cottbus,GDR,1,1419.7598877,1975-12-11,1975-12-13
None,Cottbus,GDR,1,1411.93933105,1975-12-14,1975-12-20
None,Cottbus,GDR,1,1406.40710449,1975-12-21,1976-02-07
None,Cottbus,GDR,1,1402.75183105,1976-02-08,1976-02-14
None,Cottbus,GDR,1,1391.90783691,1976-02-15,1976-02-21
None,Cottbus,GDR,1,1387.92407227,1976-02-22,1976-02-28
None,Cottbus,GDR,1,1386.91894531,1976-02-29,1976-03-03
None,Cottbus,GDR,1,1390.85217285,1976-03-04,1976-03-06
None,Cottbus,GDR,1,1387.23376465,1976-03-07,1976-03-13
None,Cottbus,GDR,1,1386.18859863,1976-03-14,1976-03-17
None,Cottbus,GDR,1,1388.82263184,1976-03-18,1976-03-27
None,Cottbus,GDR,1,1376.65466309,1976-03-28,1976-03-31
None,Cottbus,GDR,1,1368.32141113,1976-04-01,1976-04-10
None,Cottbus,GDR,1,1375.22180176,1976-04-11,1976-04-14
None,Cottbus,GDR,1,1376.11096191,1976-04-15,1976-04-17
None,Cottbus,GDR,1,1383.93688965,1976-04-18,1976-04-28
None,Cottbus,GDR,1,1392.31896973,1976-04-29,1976-05-08
None,Cottbus,GDR,1,1376.43029785,1976-05-09,1976-05-12
None,Cottbus,GDR,1,1392.53112793,1976-05-13,1976-05-15
None,Cottbus,GDR,1,1379.08068848,1976-05-16,1976-07-03
None,Cottbus,GDR,1,1376.48913574,1981-07-01,1981-08-19
None,Cottbus,GDR,1,1370.87231445,1981-08-20,1981-08-22
None,Cottbus,GDR,1,1350.80822754,1981-08-23,1981-08-25
None,Cottbus,GDR,1,1355.05224609,1981-08-26,1981-08-26
None,Cottbus,GDR,1,1365.78320312,1981-08-27,1981-08-29
None,Cottbus,GDR,1,1359.94921875,1981-08-30,1981-09-01
None,Cottbus,GDR,1,1364.55627441,1981-09-02,1981-09-05
None,Cottbus,GDR,1,1354.79736328,1981-09-06,1981-09-12
None,Cottbus,GDR,1,1351.65820312,1981-09-13,1981-09-16
None,Cottbus,GDR,1,1365.23620605,1981-09-17,1981-09-19
None,Cottbus,GDR,1,1370.42114258,1981-09-20,1981-09-26
None,Cottbus,GDR,1,1375.09094238,1981-09-27,1981-09-30
None,Cottbus,GDR,1,1374.50915527,1981-10-01,1981-10-14
None,Cottbus,GDR,1,1373.04467773,1981-10-15,1981-10-21
None,Cottbus,GDR,1,1362.39196777,1981-10-22,1981-10-24
None,Cottbus,GDR,1,1359.97375488,1981-10-25,1981-10-31
None,Cottbus,GDR,1,1358.33837891,1981-11-01,1981-11-04
None,Cottbus,GDR,1,1352.1394043,1981-11-05,1981-11-14
None,Cottbus,GDR,1,1342.94152832,1981-11-15,1981-11-28
None,Cottbus,GDR,1,1338.7722168,1981-11-29,1981-12-06
None,Cottbus,GDR,1,1328.73547363,1981-12-07,1981-12-19
None,Cottbus,GDR,1,1326.81420898,1981-12-20,1982-02-20
None,Cottbus,GDR,1,1334.70007324,1982-02-21,1982-02-27
None,Cottbus,GDR,1,1330.3145752,1982-02-28,1982-03-03
None,Cottbus,GDR,1,1326.61560059,1982-03-04,1982-03-06
None,Cottbus,GDR,1,1322.93554688,1982-03-07,1982-03-13
None,Cottbus,GDR,1,1330.51757812,1982-03-14,1982-03-17
None,Cottbus,GDR,1,1331.81933594,1982-03-18,1982-03-20
None,Cottbus,GDR,1,1330.82531738,1982-03-21,1982-04-03
None,Cottbus,GDR,1,1329.60217285,1982-04-04,1982-04-10
None,Cottbus,GDR,1,1333.34851074,1982-04-11,1982-04-17
None,Cottbus,GDR,1,1332.65856934,1982-04-18,1982-04-24
None,Cottbus,GDR,1,1344.01196289,1982-04-25,1982-05-08
None,Cottbus,GDR,1,1342.07202148,1982-05-09,1982-05-15
None,Cottbus,GDR,1,1331.21777344,1982-05-16,1982-05-22
None,Cottbus,GDR,1,1328.98242188,1982-05-23,1982-05-30
None,Cottbus,GDR,1,1340.4597168,1982-05-31,1982-07-06
None,Cottbus,GDR,1,1251.93688965,1986-07-01,1986-08-16
None,Cottbus,GDR,1,1241.89428711,1986-08-17,1986-08-23
None,Cottbus,GDR,1,1240.15856934,1986-08-24,1986-08-30
None,Cottbus,GDR,1,1250.52099609,1986-08-31,1986-09-06
None,Cottbus,GDR,1,1248.73291016,1986-09-07,1986-09-13
None,Cottbus,GDR,1,1255.57629395,1986-09-14,1986-09-17
None,Cottbus,GDR,1,1255.68652344,1986-09-18,1986-09-27
None,Cottbus,GDR,1,1261.82653809,1986-09-28,1986-10-01
None,Cottbus,GDR,1,1260.35559082,1986-10-02,1986-10-04
None,Cottbus,GDR,1,1250.29907227,1986-10-05,1986-10-18
None,Cottbus,GDR,1,1249.24035645,1986-10-19,1986-10-22
None,Cottbus,GDR,1,1251.18444824,1986-10-23,1986-11-01
None,Cottbus,GDR,1,1265.97570801,1986-11-02,1986-11-05
None,Cottbus,GDR,1,1257.79650879,1986-11-06,1986-11-12
None,Cottbus,GDR,1,1250.7520752,1986-11-13,1986-11-22
None,Cottbus,GDR,1,1245.44226074,1986-11-23,1986-11-25
None,Cottbus,GDR,1,1245.03515625,1986-11-26,1986-12-13
None,Cottbus,GDR,1,1256.7980957,1986-12-14,1987-02-28
